rank,freq,word
1,1,aquell
2,1,dia
3,1,fou
4,1,increïble
5,1,perquè
6,1,nasqué
7,1,una
8,1,altra
9,1,ciència
10,1,lingüística
11,1,cap
12,1,heroi
13,1,superb
14,1,s
15,1,hi
16,1,podria
17,1,equiparar
18,1,mai
19,1,després
20,1,d
21,1,aquella
22,1,gesta
23,1,intraduïble
24,1,només
25,1,ell
26,1,podia
27,1,aconseguir-ho
28,1,dos-cents
29,1,elements
30,1,diferents
31,1,sobre
32,1,la
33,1,seva
34,1,consciència
35,1,requeia
36,1,excessiva
37,1,responsabilitat
38,1,ser
39,1,pioner
40,1,sense
41,1,caure
42,1,en
43,1,místiques
44,1,fantasies
45,1,estúpides
46,1,així
47,1,començà
48,1,molt
49,1,animat
50,1,contra
51,1,aquelles
52,1,ciclòpies
53,1,dificultats
54,1,semblava
55,1,impossible
56,1,crear
57,1,aquest
58,1,text
59,1,rar
60,1,alguna
61,1,llei
62,1,zipfiana
63,1,marcava
64,1,com
65,1,caldria
66,1,distribuir
67,1,les
68,1,paraules
69,1,si
70,1,aconseguia
71,1,no
72,1,repetir-ne
73,1,l
74,1,inusual
75,1,codi
76,1,destrossaria
77,1,qualsevol
78,1,sistema
79,1,informàtic
80,1,que
81,1,el
82,1,tractés
83,1,llavors
84,1,generà
85,1,algun
86,1,mot
87,1,nou
88,1,ambigu
89,1,violar
90,1,distribucions
91,1,conegudes
92,1,creant
93,1,un
94,1,paràgraf
95,1,únic
96,1,encriptat
97,1,mitjançant
98,1,bojos
99,1,atzars
100,1,estadístics
101,1,per
102,1,altres
103,1,llengües
104,1,serà
105,1,possible
106,1,incloure
107,1,més
108,1,hapax
109,1,legomena
110,1,tanmateix
111,1,era
112,1,irreconeixible
113,1,davant
114,1,màquines
115,1,analítiques
116,1,durant
117,1,dos
118,1,dies
119,1,lluità
120,1,envers
121,1,aquells
122,1,ètims
123,1,puix
124,1,alguns
125,1,eren
126,1,massa
127,1,durs
128,1,enrocats
129,1,resistien
130,1,vans
131,1,intents
132,1,tot
133,1,evitant-los
134,1,negà
135,1,renegà
136,1,seguidament
137,1,digué
138,1,necessito
139,1,variants
140,1,morfològiques
141,1,bregà
142,1,però
143,1,màquina
144,1,seguia
145,1,ignorant
146,1,va
147,1,perdre
148,1,refeia
149,1,trossos
150,1,textuals
151,1,quan
152,1,detectava
153,1,repeticions
154,1,llistats
155,1,o
156,1,absurds
157,1,molts
158,1,monosíl
159,1,labs
160,1,emergien
161,1,instanciant
162,1,possibilitats
163,1,concises
164,1,de
165,1,combinatòria
166,1,limitada
167,1,igual
168,1,passava
169,1,amb
170,1,tota
171,1,frase
172,1,breu
173,1,exclamà
174,1,definitivament
175,1,entén-me
176,1,ara
177,1,ella
178,1,continuà
179,1,abstreta
180,1,atrafegada
181,1,dins
182,1,cada
183,1,bucle
184,1,infinit
185,1,creava
186,1,i
187,1,destruïa
188,1,textos
189,1,a
190,1,ningú
191,1,importen
192,1,els
193,1,teus
194,1,esforços
195,1,solitaris
196,1,tots
197,1,fugen
198,1,ignorants
199,1,volen
200,1,èxits
201,1,contrastables
202,1,empíricament
203,1,suà
204,1,fins
205,1,assolir
206,1,diverses
207,1,incorporacions
208,1,finals
209,1,ja
210,1,estava
211,1,havia
212,1,conclòs
213,1,li
214,1,van
215,1,arribar
216,1,felicitacions
217,1,zipf
218,1,ha
219,1,mort
220,1,visca
221,1,george
222,1,kingsley
